gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p
TMEM69,++++-+,++++++-+--++,-+---+++,0.3494071923332185,0.8855880880227113,+,0.699,0.1556381639109728,0.021945801,188,1
MUL1,+--+--,+++--+-+-++-,NA,0.34946463055931515,0.9470466204111506,+,0.699,0.15556677713049846,0.11748765589626718,188,1
BAZ2A,--+---,--+-+-+--+++,+-+-+---,0.39362044037492383,0.34947677339972333,-,0.699,0.15555168697113872,0.027873502,188,1
ST7L,--+---,+++--++--+++,NA,0.8019210085721871,0.3494870532037809,-,0.699,0.15553891245546958,0.073452295,188,1
SLC34A1,++++++,NA,NA,0.3495821242662153,0.7424454310397124,+,0.699,0.15542078727018266,0.21990950014353572,188,1
PYY,----++,NA,NA,0.5909097909515221,0.34966338104187344,-,0.699,0.1553198517069891,0.07913635159336249,188,1
PDILT,+--+++,NA,NA,0.7646812779744913,0.34969827131397807,-,0.699,0.1552765188973943,0.23256629321646938,188,1
PPT2,---+--,+-++---+-++-,+-+-+-+-,0.3497004142370067,0.5215230790391945,+,0.699,0.15527385758370954,0.07340465,188,1
PRR23B,+-++-+,NA,NA,0.3497192723033633,0.8526768787088153,+,0.699,0.1552504382996441,0.10922691849312872,188,1
CDCP2,-+----,NA,NA,0.34979543938480395,0.5841305188775353,+,0.7,0.15515586146587532,0.18314811809714482,188,1
FBN1,--+---,-++-++++--++,NA,0.34987163876698585,0.4890116010404036,+,0.7,0.15506126512893093,0.067206928,188,1
POLR3E,-----+,----+-+-+-+-,NA,0.8992121379172069,0.35002609403188517,-,0.7,0.15486958263821227,0.079086441,188,1
SPRY1,+-++-+,++---++-----,-+-++---,0.3500868394542434,0.6551080615726338,+,0.7,0.15479421936313062,0.00679569,188,1
MEST,-----+,-+++-+++----,++++++-+,0.3501514418907226,0.4875129461545122,+,0.7,0.15471408526447455,0.02283764,188,1
METTL11B,--+---,NA,NA,0.802365634439524,0.3501624276073428,-,0.7,0.15470045984217154,0.08427681750012388,188,1
ZCRB1,-+-++-,++++++-+-+++,-+-++-++,0.35018404832249544,0.8455100131068362,+,0.7,0.15467364523651192,0.084223689,188,1
CCDC73,+++-++,+-++-+-+++-+,NA,0.35040097221518435,0.81243231934837,+,0.701,0.1544047018539482,0.014067999,189,1
AMER3,++++--,-+----++++++,NA,0.3505190625289807,0.4454719757885913,+,0.701,0.15425836284353042,0.132107495,189,1
FGF21,+++++-,NA,NA,0.3505251854502523,0.508048461390936,+,0.701,0.15425077658651706,0.09765569843993342,189,1
ITGB1BP1,-++++-,++++-+++++++,-+-+---+,0.5600930940477467,0.35055700387955463,-,0.701,0.15421135590663493,0.016138022,189,1
TRIP12,-+++-+,+++++++++-+-,-+---+-+,0.3507829305408301,0.8049475381026164,+,0.702,0.15393155234523692,0.06705274487578759,189,1
PFDN1,+++++-,+-++--+++++-,-++----+,0.35082491063902843,0.35738289129397227,+,0.702,0.15387958107596378,0.023410191,189,1
METTL8,----+-,--+-++----++,+-+--+--,0.3508753733523956,0.6866118659601317,+,0.702,0.15381711657795802,0.03221832,189,1
NUDT16L1,---++-,++++--+-+++-,--+++-+-,0.9496840468349657,0.35101678369148814,-,0.702,0.15364212180086423,0.014235861,189,1
MASP2,---+-+,NA,NA,0.37510677480555993,0.35102602810586403,-,0.702,0.15363068432701038,0.026163004774237,189,1
SRP68,++++-+,-+---+-+-+-+,++--++-+,0.35104917318610157,0.5311716050929799,+,0.702,0.15360204984279696,0.017215801180824764,189,1
CYP1A2,----++,NA,-+-+++--,0.7745410519284085,0.35110664751433074,-,0.702,0.1535309522803446,0.030531554,189,1
MEF2C,++++++,++-+--+++--+,++-----+,0.4492002086623721,0.35111447900223824,-,0.702,0.15352126538299835,0.031092416,189,1
TRIM40,++++++,NA,NA,0.7127341886390456,0.35124630422335573,-,0.702,0.1533582409996712,0.17576573865242584,189,1
ODF3,+++--+,NA,NA,0.35132125844874146,0.9301242423703193,+,0.703,0.15326557459053597,0.25533024304815005,189,1
CLCNKB,+---++,NA,NA,0.8045098776832659,0.3513857497541802,-,0.703,0.15318585938111168,0.1099357435990438,189,1
EXOC3L4,+++-+-,NA,NA,0.35153427844731766,0.9000644400750211,+,0.703,0.15300232444056097,0.2373800004709758,189,1
MX1,++-+--,++++++++++++,++-+++--,0.5528280465093213,0.35157463422350976,-,0.703,0.15295247073904603,0.054017506,189,1
FAM129A,-++-+-,-+++---+++++,NA,0.8419728731575915,0.35171513719852815,-,0.703,0.1527789443491203,0.03984835495894945,189,1
SLC35F2,++++++,+++--+-+++--,----+---,0.7158727977190671,0.35177258776885617,-,0.704,0.1527080107284028,0.028999064,189,1
P4HA3,+--++-,++-+-+-+--+-,NA,0.5234307859995607,0.3518377453446134,-,0.704,0.1526275753670822,0.032552885515517875,189,1
PF4,++----,NA,NA,0.35185900250802,0.7500776596992951,+,0.704,0.15260133716490382,0.1937932529085337,189,1
TMPRSS6,++--+-,NA,NA,0.351875982962887,0.6409373231436124,+,0.704,0.15258037894056473,0.15703704092782528,189,1
KRTAP10-3,-+++++,NA,NA,0.6666280972654373,0.3520783764274918,-,0.704,0.15233065147996858,0.1474972401780233,189,1
CCDC14,-----+,++--+++---++,---++---,0.3521468527014223,0.4325763939208737,+,0.704,0.15224619308009035,0.016566948,189,1
CRYBB2,+--+--,NA,NA,0.3524409644689166,0.6020048459995463,+,0.705,0.1518836232995986,0.10370907670985145,190,1
ARHGEF26,+-+--+,+++--+-----+,+-++-+--,0.35259047659975706,0.8926841934766262,+,0.705,0.15169942642384918,0.024345599,190,1
SKA3,++-+-+,-+-+-++--+--,NA,0.3526869811454933,0.8508037474083963,+,0.705,0.15158057563259494,0.067297076,190,1
CENPF,++---+,+-++-++++-+-,NA,0.35269710028852924,0.9462632551215384,+,0.705,0.15156811522103172,0.14104810398845774,190,1
SLC38A4,-++-++,NA,NA,0.7783334570705207,0.3527257551425217,-,0.705,0.1515328324260962,0.11021674385858987,190,1
LARS2,++++-+,--+-----+++-,++-++++-,0.352776379992688,0.5075814761029425,+,0.706,0.1514705049234078,0.04185494018247445,190,1
OR51G2,++-+++,NA,NA,0.6566813836006187,0.35285280438806294,-,0.706,0.15137643088548935,0.13702159296506827,190,1
SLC25A47,--+++-,NA,NA,0.5091091724021997,0.3529009574974264,-,0.706,0.1513171676386039,0.11262275249502222,190,1
TAF1C,++-+++,--+-+-+-+++-,---+--+-,0.36922332043901573,0.35301923282472464,-,0.706,0.1511716375257787,0.041997846,190,1
SLC25A32,++++-+,---+-+-+----,++-----+,0.35310488457785094,0.48802624270993805,+,0.706,0.15106627903988712,0.022848741,190,1
SMC6,-+--+-,+---+-+---++,+-++-+--,0.5075612695317037,0.3531066645369597,-,0.706,0.15106408981933436,0.02845166640173278,190,1
PP2D1,+-++-+,NA,NA,0.7935126651836478,0.3533127495873542,-,0.707,0.15081069473720993,0.20653212741518642,190,1
APC2,-+-++-,----+-++++++,+-++--+-,0.5234504606151743,0.35333156874792127,-,0.707,0.15078756271059288,0.045717416,190,1
PRR4,----+-,+---+-+--++-,-+--+---,0.6571117483518165,0.35347956657917307,-,0.707,0.1506056905267148,0.013585019,190,1
