gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
CARD18,++++-+,NA,NA,0.8301617425468562,0.41808971840580017,-,0.836,0.6129104788536677,225,1
RWDD3,++++++,++++-++-----,-+---+++,0.41838942462039747,0.812395500515191,+,0.837,0.106518754,225,1
GNRH1,----++,-++--+-+----,NA,0.6853547097101464,0.4185302894563912,-,0.837,0.088118083,225,1
AQP10,+-+-+-,NA,NA,0.4185936681770212,0.628135396973268,+,0.837,0.29739347359786317,225,1
PSG6,-+-++-,NA,NA,0.4186046141174222,0.7012779024624651,+,0.837,0.2924663100986065,225,1
OR5A2,--+-++,NA,NA,0.6638501212215421,0.41861850428864983,-,0.837,0.2777997487439436,225,1
DNTT,----++,NA,NA,0.45578075138711793,0.4186202347338654,-,0.837,0.24121598152211673,225,1
EIF3J,-++-+-,+--++-+--+++,--+--+-+,0.41872603118334273,0.7025080987113661,+,0.837,0.024391479,225,1
NOVA2,++++--,------+-++++,-+-+--+-,0.7621711773749339,0.4187301881970631,-,0.837,0.029021582,225,1
CATIP,-+--+-,NA,NA,0.41873107674142024,0.6242531067899305,+,0.837,0.28683276557173865,225,1
PRRG2,---+++,NA,NA,0.4187885605120033,0.8127275328434369,+,0.838,0.470330731815931,225,1
C9orf153,+--+++,--+-++----++,NA,0.41883579461403686,0.5179964533347625,+,0.838,0.06811422,225,1
PRB4,++----,NA,NA,0.8013561340599195,0.4188666049893423,-,0.838,0.5010347123713823,225,1
CPN2,----++,NA,NA,0.4188998072810371,0.7535229266003786,+,0.838,0.3493562632074254,225,1
KRTAP6-1,+--+--,NA,NA,0.6535594329744994,0.41897156661879603,-,0.838,0.40524641203945966,225,1
VWDE,-++---,+++++++-+-++,NA,0.6013010301810768,0.4190348791174118,-,0.838,0.213414057,225,1
SPATA12,+++---,NA,NA,0.4191945260859106,0.7762961524764702,+,0.838,0.4656617184549674,226,1
OR10T2,+-+-+-,NA,NA,0.4192052393874942,0.7437422823245698,+,0.838,0.33333775720747727,226,1
BTN3A3,++-+--,++++++++-+-+,+---++++,0.4192179747086292,0.7070770831182223,+,0.838,0.021741573,226,1
NOD2,+++---,NA,NA,0.7174311154659396,0.4193132745199907,-,0.839,0.38994423883511653,226,1
TRPC3,---+--,-+--+-++--++,NA,0.5704765154086228,0.4193253296256783,-,0.839,0.010762747,226,1
FCHSD2,--++-+,-++-+----+++,+-+-+--+,0.4193279354712722,0.6554390239815575,+,0.839,0.022584,226,1
TAS2R38,-+++-+,NA,NA,0.41934571121841885,0.6819995241626311,+,0.839,0.3764565481818575,226,1
PALB2,+++---,+++++-+-++++,---++--+,0.6211189562797029,0.4194939760794646,-,0.839,0.065230408,226,1
PMF1,++--+-,--+-+-+--+-+,--+-+++-,0.8457345277243487,0.4195368632866955,-,0.839,0.06444782,226,1
LRTM1,--+-+-,NA,NA,0.5380445113066986,0.4196839113523993,-,0.839,0.3050397686191526,226,1
POLH,-----+,+++-+++-++++,NA,0.47802653858152633,0.41975877411156437,-,0.84,0.178276747,226,1
HEATR6,+++--+,+++--++---+-,+-++---+,0.45359249474824076,0.4198171556097098,-,0.84,0.012833427,226,1
CPEB1,--++++,+++-++----+-,--+++---,0.41988527944782833,0.5667074775825403,+,0.84,0.018078341,226,1
SIMC1,++++++,------+-++++,+++-+-+-,0.4199534016041904,0.48698934754551476,+,0.84,0.056744508,226,1
ZNF681,-++-++,-+------+--+,NA,0.6948243916098107,0.4200221123101853,-,0.84,0.152272022,226,1
NELL1,+-++-+,-+---+-++---,-+--++-+,0.4598578163154455,0.42006201134185356,-,0.84,0.037651498,226,1
GIGYF1,-+-++-,+-+-+-++++++,+---++--,0.5598176986894741,0.42007807720771123,-,0.84,0.004007491,226,1
KDM4B,-+--+-,----+-++++++,NA,0.6190784697501204,0.4201832907521115,-,0.84,0.108119593,226,1
OR2F2,---+-+,NA,NA,0.42027332527430944,0.8116705058435281,+,0.841,0.4765413151920749,226,1
CRYGN,+--+++,NA,NA,0.8114113515179737,0.4202924210342507,-,0.841,0.5631589799041896,226,1
F2RL3,+---+-,NA,NA,0.42032073887191307,0.6550723501997222,+,0.841,0.28136430075859464,226,1
ZNF287,++++-+,++++-+-+----,NA,0.4203298643872158,0.5613399411437673,+,0.841,0.046774791,226,1
KTI12,++-+--,+++---++-++-,++-+---+,0.7739623651827163,0.4203787793082946,-,0.841,0.08007631810637288,226,1
REG3A,-+++--,NA,NA,0.42043052325783564,0.5799570893786534,+,0.841,0.23609511463935626,226,1
IQCF1,-+---+,NA,NA,0.8389107968917743,0.4208350753126176,-,0.842,0.6653252893015835,226,1
TAF3,-+-++-,----+----+-+,+-+-----,0.9078280721866006,0.4208967766332102,-,0.842,0.063357022,226,1
HDAC10,+--+++,--+------+++,NA,0.42090489274310144,0.65512122371668835,+,0.842,0.069096845,226,1
DEFB118,-+++--,NA,NA,0.42092171567840747,0.7303003052954593,+,0.842,0.4181551796103683,226,1
PRND,+---+-,NA,NA,0.42098178418524856,0.7566147922966006,+,0.842,0.3863877366089452,226,1
CASKIN2,+-+---,--+-+-+--+++,+-+-++--,0.6144042968815229,0.4210292179917232,-,0.842,0.080201311,227,1
GORAB,-+++-+,+-+--++-----,NA,0.8361403689946352,0.4210653443290336,-,0.842,0.148190732,227,1
ELMO3,----++,NA,NA,0.42107510354980593,0.5807477299672632,+,0.842,0.3386069265771935,227,1
RIPK4,+++++-,NA,NA,0.4210792984277101,0.5641856567746107,+,0.842,0.28589626060074297,227,1
PAK1,++++-+,+--+--+++--+,++-----+,0.4211003615875298,0.4507780926542143,+,0.842,0.076899236,227,1
HENMT1,++-+-+,++++-+---+--,++-----+,0.6744472361049891,0.42113412320633004,-,0.842,0.012949906,227,1
RPTOR,++++--,------++++++,NA,0.7832070841543768,0.4212392135873017,-,0.842,0.135677491,227,1
HSD17B11,---++-,++++-++-++-+,+---++++,0.4213110687319307,0.6133861716999053,+,0.843,0.01374073,227,1
CYB5R3,++-++-,+-+-+-++-+++,--+-++--,0.4213439098439072,0.8468590575917229,+,0.843,0.018322846,227,1
MICAL1,----+-,+-+---++++++,+-++--+-,0.42138382461459234,0.7254586823145703,+,0.843,0.033979579,227,1
COL10A1,++++-+,------+++-++,NA,0.7259787785828665,0.4213987317585855,-,0.843,0.06609466,227,1
ULBP3,-++---,---+----+-++,NA,0.9703666668575757,0.42150666044859775,-,0.843,0.262819951,227,1
PCDHB1,----+-,NA,NA,0.6592246826676851,0.42179228602973634,-,0.844,0.4554334912059803,227,1
AP3M1,--++--,-++--+------,-++++---,0.46414717737379096,0.42180244948034984,-,0.844,0.055971629,227,1
B3GNT3,-+-+--,NA,+++-+---,0.4218265814987439,0.9283296925260993,+,0.844,0.062060955,227,1
GFY,-+-++-,NA,NA,0.42191425617788925,0.7530155648790176,+,0.844,0.4149512811452123,227,1
PINLYP,----++,--+---+-++++,NA,0.4219162976788096,0.8681543532301323,+,0.844,0.101760449,227,1
GALNT8,+++++-,-----++----+,NA,0.503559773734971,0.4219183929735492,-,0.844,0.030391163,227,1
S1PR3,+++-+-,-+--+-++-+++,NA,0.4219492218461499,0.7724310533445112,+,0.844,0.11008637062926035,227,1
ZRANB1,-+++-+,-+-+-+--+-+-,+++--+-+,0.5396464819377423,0.4220103922565107,-,0.844,0.027667397,227,1
N6AMT2,++-++-,+++--++++-+-,++--+-++,0.42202424619701867,0.8959733662979981,+,0.844,0.099181648,227,1
ARMC9,++++--,--+---++++++,NA,0.42203630676447995,0.8868697837227808,+,0.844,0.04873831,227,1
HAO1,-+-+++,NA,NA,0.4221166096842439,0.7548888104716355,+,0.844,0.363883275179407,227,1
CAV1,---+++,-++++-++-+++,+-+-+-+-,0.5147142585595168,0.42215525204236376,-,0.844,0.04249176,227,1
NAA60,++++--,NA,NA,0.46540919043647294,0.42224627660320113,-,0.844,0.21183553871115018,227,1
OR1L6,++--++,NA,NA,0.5705974730702628,0.42235015693378836,-,0.845,0.23277818453929772,227,1
ATP1A1,++++-+,--++-++++++-,++++----,0.4224075247186227,0.7882140409958026,+,0.845,0.04776440387063366,227,1
OR8B2,+-++-+,NA,NA,0.42246143698224103,0.7768950214909505,+,0.845,0.4758428773938158,227,1
TMEM244,+-+-++,NA,NA,0.5920525162052546,0.4226350343658312,-,0.845,0.22434332613605076,227,1
SPECC1L,-++++-,-++-+--+-+-+,NA,0.42307201819409,0.9463233631217731,+,0.846,0.15911214,228,1
ZNF354A,+-+---,------+-+-+-,-+++--+-,0.9424976612751479,0.4230841702650808,-,0.846,0.089662016,228,1
OR2M2,+--+--,NA,NA,0.4231548649459139,0.49884913357785704,+,0.846,0.2211014723493478,228,1
SLC6A16,---+++,+++++-++-++-,NA,0.4231603240129463,0.9729367724392309,+,0.846,0.274450831,228,1
DEFB110,+++-++,NA,NA,0.4231777922734113,0.5993491428582439,+,0.846,0.3328598658402314,228,1
ANKMY1,+++-++,+-+-+++++++-,NA,0.42323136712596116,0.8287450697209622,+,0.846,0.181022547,228,1
HMGA2,+--++-,NA,NA,0.4233465254506282,0.576419796408641,+,0.847,0.3397956413155331,228,1
ADH7,+-+-++,NA,NA,0.42357776472715897,0.742764784445181,+,0.847,0.3470571394527885,228,1
C15orf43,-+--+-,NA,NA,0.4236389555312437,0.6415487477239091,+,0.847,0.2610962659490912,228,1
GH1,++---+,NA,NA,0.6723896194707276,0.4239151998585521,-,0.848,0.2726085504552929,228,1
HTR1D,-+-+-+,--++--+---++,NA,0.6359604186252032,0.4239262086530324,-,0.848,0.131807726,228,1
CALCOCO2,+-+-++,+-+-++++-+--,---+-+--,0.42398968908138157,0.7257477081040172,+,0.848,0.007645693,228,1
FMO1,--++-+,NA,NA,0.4239946484257696,0.6429319827295369,+,0.848,0.2553708983099675,228,1
BCAT2,---+++,+-+-+-+++++-,--++-+--,0.4240417739306166,0.9208004979241855,+,0.848,0.079358936,228,1
