structure_name,genome_tissue_count,sample_tissue_count,expected_tissue_count,hypergeometric_p,corrected_hypergeometric_p,enclosing_regions,region_location
lateral orbital gyrus,2,NA,0.025684028942450525,NA,NA,lateral orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,lateral orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
lingual gyrus peristriate,10,NA,0.12842014471225263,NA,NA,lingual gyrus peristriate <  lingual gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,lingual gyrus peristriate <  lingual gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
medial group of nuclei,10,NA,0.12842014471225263,NA,NA,medial group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,medial group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
medial orbital gyrus,3,NA,0.038526043413675784,NA,NA,medial orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,medial orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
medial parabrachial nucleus,52,NA,0.6677847525037136,NA,NA,medial parabrachial nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,medial parabrachial nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter
middle frontal gyrus inferior bank of gyrus,5,NA,0.06421007235612632,NA,NA,middle frontal gyrus inferior bank of gyrus <  middle frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,middle frontal gyrus inferior bank of gyrus <  middle frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
middle frontal gyrus superior bank of gyrus,1,NA,0.012842014471225262,NA,NA,middle frontal gyrus superior bank of gyrus <  middle frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,middle frontal gyrus superior bank of gyrus <  middle frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
nucleus accumbens,87,NA,1.1172552589965978,NA,NA,nucleus accumbens <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,nucleus accumbens <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter
nucleus of the diagonal band vertical division,113,NA,1.4511476352484545,NA,NA,nucleus of the diagonal band vertical division <  nucleus of the diagonal band  <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter,nucleus of the diagonal band vertical division <  nucleus of the diagonal band  <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter
nucleus subceruleus,14,NA,0.17978820259715367,NA,NA,nucleus subceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,nucleus subceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter
occipito-temporal gyrus inferior bank of gyrus,1,NA,0.012842014471225262,NA,NA,occipito-temporal gyrus inferior bank of gyrus <  occipito-temporal gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,occipito-temporal gyrus inferior bank of gyrus <  occipito-temporal gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
occipito-temporal gyrus superior bank of gyrus,1,NA,0.012842014471225262,NA,NA,occipito-temporal gyrus superior bank of gyrus <  occipito-temporal gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,occipito-temporal gyrus superior bank of gyrus <  occipito-temporal gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
olfactory tubercle,34,NA,0.43662849202165893,NA,NA,olfactory tubercle <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter,olfactory tubercle <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter
paracentral lobule anterior part inferior bank of gyrus,5,NA,0.06421007235612632,NA,NA,paracentral lobule anterior part inferior bank of gyrus <  paracentral lobule anterior part  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,paracentral lobule anterior part inferior bank of gyrus <  paracentral lobule anterior part  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
paracentral lobule anterior part superior bank of gyrus,28,NA,0.35957640519430734,NA,NA,paracentral lobule anterior part superior bank of gyrus <  paracentral lobule anterior part  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,paracentral lobule anterior part superior bank of gyrus <  paracentral lobule anterior part  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
parahippocampal gyrus bank of the cos,2,NA,0.025684028942450525,NA,NA,parahippocampal gyrus bank of the cos <  parahippocampal gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,parahippocampal gyrus bank of the cos <  parahippocampal gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
perifornical nucleus,142,NA,1.8235660549139874,NA,NA,perifornical nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,perifornical nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter
planum polare,2,NA,0.025684028942450525,NA,NA,planum polare <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,planum polare <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
planum temporale,19,NA,0.24399827495327997,NA,NA,planum temporale <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,planum temporale <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
pontine raphe nucleus,12,NA,0.15410417365470314,NA,NA,pontine raphe nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,pontine raphe nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter
postcentral gyrus bank of the posterior central sulcus,15,NA,0.19263021706837893,NA,NA,postcentral gyrus bank of the posterior central sulcus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter,postcentral gyrus bank of the posterior central sulcus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter
postcentral gyrus inferior lateral aspect of gyrus,6,NA,0.07705208682735157,NA,NA,postcentral gyrus inferior lateral aspect of gyrus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter,postcentral gyrus inferior lateral aspect of gyrus <  postcentral gyrus  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter
posterior group of nuclei,25,NA,0.32105036178063157,NA,NA,posterior group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,posterior group of nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
posterior hypothalamic area,17,NA,0.21831424601082947,NA,NA,posterior hypothalamic area <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,posterior hypothalamic area <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter
posterior orbital gyrus,18,NA,0.2311562604820547,NA,NA,posterior orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,posterior orbital gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
precentral gyrus bank of the central sulcus,10,NA,0.12842014471225263,NA,NA,precentral gyrus bank of the central sulcus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,precentral gyrus bank of the central sulcus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
precentral gyrus bank of the precentral sulcus,3,NA,0.038526043413675784,NA,NA,precentral gyrus bank of the precentral sulcus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,precentral gyrus bank of the precentral sulcus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
precentral gyrus inferior lateral aspect of gyrus,10,NA,0.12842014471225263,NA,NA,precentral gyrus inferior lateral aspect of gyrus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,precentral gyrus inferior lateral aspect of gyrus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
precentral gyrus superior lateral aspect of gyrus,12,NA,0.15410417365470314,NA,NA,precentral gyrus superior lateral aspect of gyrus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,precentral gyrus superior lateral aspect of gyrus <  precentral gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
raphe nuclei of medulla,9,NA,0.11557813024102735,NA,NA,raphe nuclei of medulla <  myelencephalon  < gray matter,raphe nuclei of medulla <  myelencephalon  < gray matter
red nucleus,42,NA,0.539364607791461,NA,NA,red nucleus <  midbrain tegmentum  <  mesencephalon  < gray matter,red nucleus <  midbrain tegmentum  <  mesencephalon  < gray matter
rostral group of intralaminar nuclei,32,NA,0.4109444630792084,NA,NA,rostral group of intralaminar nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,rostral group of intralaminar nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
short insular gyri,9,NA,0.11557813024102735,NA,NA,short insular gyri <  insula  <  cerebral cortex  <  telencephalon  < gray matter,short insular gyri <  insula  <  cerebral cortex  <  telencephalon  < gray matter
spinal trigeminal nucleus,11,NA,0.14126215918347787,NA,NA,spinal trigeminal nucleus <  myelencephalon  < gray matter,spinal trigeminal nucleus <  myelencephalon  < gray matter
subcallosal cingulate gyrus,21,NA,0.2696823038957305,NA,NA,subcallosal cingulate gyrus <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,subcallosal cingulate gyrus <  cingulate gyrus  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
subiculum,23,NA,0.29536633283818103,NA,NA,subiculum <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,subiculum <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
superior occipital gyrus inferior bank of gyrus,22,NA,0.28252431836695574,NA,NA,superior occipital gyrus inferior bank of gyrus <  superior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior occipital gyrus inferior bank of gyrus <  superior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
superior occipital gyrus superior bank of gyrus,2,NA,0.025684028942450525,NA,NA,superior occipital gyrus superior bank of gyrus <  superior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior occipital gyrus superior bank of gyrus <  superior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
superior parietal lobule inferior bank of gyrus,3,NA,0.038526043413675784,NA,NA,superior parietal lobule inferior bank of gyrus <  superior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior parietal lobule inferior bank of gyrus <  superior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter
superior temporal gyrus inferior bank of gyrus,1,NA,0.012842014471225262,NA,NA,superior temporal gyrus inferior bank of gyrus <  superior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior temporal gyrus inferior bank of gyrus <  superior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
supramammillary nucleus,82,NA,1.0530451866404715,NA,NA,supramammillary nucleus <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,supramammillary nucleus <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter
supramarginal gyrus inferior bank of gyrus,9,NA,0.11557813024102735,NA,NA,supramarginal gyrus inferior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter,supramarginal gyrus inferior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  <  parietal lobe  <  cerebral cortex  <  telencephalon  < gray matter
tail of caudate nucleus,57,NA,0.73199482485984,NA,NA,tail of caudate nucleus <  tail of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,tail of caudate nucleus <  tail of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter
temporal pole inferior aspect,6,NA,0.07705208682735157,NA,NA,temporal pole inferior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole inferior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
temporal pole medial aspect,101,NA,1.2970434615937514,NA,NA,temporal pole medial aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole medial aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
transverse gyri,11,NA,0.14126215918347787,NA,NA,transverse gyri <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,transverse gyri <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
tuberomammillary nucleus,68,NA,0.8732569840433179,NA,NA,tuberomammillary nucleus <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,tuberomammillary nucleus <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter
V paravermis,10,NA,0.12842014471225263,NA,NA,V paravermis <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V paravermis <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
ventral tegmental area,6,NA,0.07705208682735157,NA,NA,ventral tegmental area <  midbrain tegmentum  <  mesencephalon  < gray matter,ventral tegmental area <  midbrain tegmentum  <  mesencephalon  < gray matter
vestibular nuclei,16,NA,0.2054722315396042,NA,NA,vestibular nuclei <  myelencephalon  < gray matter,vestibular nuclei <  myelencephalon  < gray matter
VI lateral hemisphere,31,NA,0.3981024486079831,NA,NA,VI lateral hemisphere <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VI lateral hemisphere <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
VIIAt,71,NA,0.9117830274569937,NA,NA,VIIAt <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIAt <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
VIIB lateral hemisphere,23,NA,0.29536633283818103,NA,NA,VIIB lateral hemisphere <  VIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB lateral hemisphere <  VIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
VIIB paravermis,122,NA,1.5667257654894822,NA,NA,VIIB paravermis <  VIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB paravermis <  VIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
VIIIA paravermis,56,NA,0.7191528103886147,NA,NA,VIIIA paravermis <  VIIIA  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIA paravermis <  VIIIA  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
VIIIB,220,NA,2.8252431836695577,NA,NA,VIIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
