structure_name,genome_tissue_count,sample_tissue_count,expected_tissue_count,hypergeometric_p,corrected_hypergeometric_p,enclosing_regions,region_location
lateral mammillary nucleus,374,4,4.802913412238248,0.705,1,lateral mammillary nucleus <  mammillary body  < mammillary region,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter
dentate nucleus,95,1,1.2199913747664,0.705,1,dentate nucleus < cerebellar nuclei,dentate nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter
VIIIA lateral hemisphere,99,1,1.271359432651301,0.72,1,VIIIA lateral hemisphere <  VIIIA  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,VIIIA lateral hemisphere <  VIIIA  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
putamen,101,1,1.2970434615937514,0.727,1,putamen <  striatum  < basal ganglia,putamen <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter
VI,103,1,1.322727490536202,0.734,1,VI <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,VI <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
claustrum,226,2,2.902295270496909,0.786,1,claustrum < cerebral nuclei,claustrum <  cerebral nuclei  <  telencephalon  < gray matter
basal nucleus of meynert,253,2,3.2490296612199914,0.836,1,basal nucleus of meynert <  substantia innominata  < basal forebrain,basal nucleus of meynert <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter
subcuneiform nucleus,254,2,3.2618716756912165,0.837,1,subcuneiform nucleus < midbrain reticular formation,subcuneiform nucleus <  midbrain reticular formation  <  midbrain tegmentum  <  mesencephalon  < gray matter
substantia nigra pars reticulata,261,2,3.3517657769897933,0.848,1,substantia nigra pars reticulata < substantia nigra,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter
globose nucleus,366,3,4.700177296468445,0.848,1,globose nucleus < cerebellar nuclei,globose nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter
zona incerta,569,5,7.307106234127174,0.854,1,zona incerta <  ventral thalamus  < thalamus,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter
lateral tuberal nucleus,152,1,1.9519861996262398,0.859,1,lateral tuberal nucleus < tuberal region,lateral tuberal nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter
globus pallidus external segment,484,4,6.215535004073026,0.868,1,globus pallidus external segment <  globus pallidus  < basal ganglia,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter
superior olivary complex,166,1,2.1317744022233938,0.882,1,superior olivary complex < pontine tegmentum,superior olivary complex <  pontine tegmentum  <  pons  <  metencephalon  < gray matter
central glial substance,2509,26,32.220614308304185,0.893,1,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter
hypoglossal nucleus,184,1,2.3629306627054483,0.907,1,hypoglossal nucleus <  myelencephalon  < gray matter,hypoglossal nucleus <  myelencephalon  < gray matter
CA2 field,190,1,2.4399827495328,0.914,1,CA2 field <  hippocampal formation  < limbic lobe,CA2 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter
caudal group of intralaminar nuclei,201,1,2.5812449087162777,0.925,1,caudal group of intralaminar nuclei < dorsal thalamus,caudal group of intralaminar nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter
IV lateral hemisphere,342,2,4.39196894915904,0.934,1,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
motor nucleus of trigeminal nerve,385,2,4.944175571421726,0.959,1,motor nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,motor nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter
